"pred_date","posterior_mean","parametric_fit","lower","upper"
2020-03-06,0.0146554100094446,0.317185625502611,-18.7954634237343,18.8247742437532
2020-03-07,0.00869195009604628,0.412342248903956,-17.2629509934032,17.2803348935953
2020-03-08,0.00677674244748745,0.53427872727145,-17.2619424191741,17.2754959040691
2020-03-09,0.003510634878047,0.689915011656763,-17.1821180861218,17.1891393558779
2020-03-10,0.0165455456399156,0.887755086168554,-17.1683732074801,17.2014642987599
2020-03-11,0.0480925447626014,1.13818598590523,-17.1283750402504,17.2245601297756
2020-03-12,0.039316902142154,1.45381465798034,-17.136640222389,17.2152740266733
2020-03-13,-0.0406684924376043,1.84984219524873,-17.2157761248331,17.1344391399579
2020-03-14,-0.0284650192442396,2.34447321177253,-17.2034299101668,17.1464998716783
2020-03-15,0.341577432590642,2.95935596134028,-16.8333114992186,17.5164663643999
2020-03-16,1.05549780568257,3.72004624099505,-16.1193621883504,18.2303577997156
2020-03-17,1.73148397917886,4.65648522018332,-15.44337038234,18.9063383406977
2020-03-18,2.10013103459409,5.80347818268903,-15.0747184281307,19.2749804973189
2020-03-19,2.37156577235294,7.20115789707377,-14.8032833901859,19.5464149348918
2020-03-20,2.97254588319519,8.89541312096913,-14.2023025500424,20.1473943164328
2020-03-21,4.15535092323626,10.9382598157328,-13.0194975033775,21.33019934985
2020-03-22,5.92877790263469,13.3881302539167,-11.2460704263826,23.103626231652
2020-03-23,8.13674421631019,16.3100536145752,-9.03810411255604,25.3115925451764
2020-03-24,10.7896191988609,19.7757011518101,-6.38522911817731,27.9644675158991
2020-03-25,14.4955794462405,23.8632698368157,-2.6792688704503,31.6704277629313
2020-03-26,19.7351250797879,28.6571807090746,2.56027676439126,36.9099733951846
2020-03-27,25.3737635693944,34.2475721470393,8.19891525412567,42.5486118846631
2020-03-28,29.5259242812161,40.7295739004508,12.3510759660732,46.7007725963589
2020-03-29,32.6926585562805,48.2023549143399,15.5178102411676,49.8675068713934
2020-03-30,38.1817810446379,56.7679464896953,21.0069327295356,55.3566293597402
2020-03-31,48.6628173997338,66.5298518127621,31.4879690846371,65.8376657148305
2020-04-01,63.9543532657225,77.5914628773572,46.7795049506267,81.1292015808183
2020-04-02,81.9012591734045,90.0543157708675,64.7264108583099,99.076107488499
2020-04-03,99.5317990223803,104.016224595551,82.3569507072858,116.706647337475
2020-04-04,114.588859621553,119.569342350485,97.4140113064586,131.763707936648
2020-04-05,128.068297677578,136.798203349888,110.893449362483,145.243145992673
2020-04-06,144.445975305362,155.77780573726,127.271126990267,161.620823620457
2020-04-07,168.96701176514,176.571794041937,151.792163450046,186.141860080235
2020-04-08,204.95109230469,199.230800348912,187.776243989595,222.125940619785
2020-04-09,250.295600402656,223.790998527174,233.12075208756,267.470448717751
2020-04-10,294.518388263885,250.272919279304,277.34353994879,311.693236578981
2020-04-11,325.029455495541,278.680564893179,307.854607180446,342.204303810636
2020-04-12,341.066704433959,309.000851988549,323.891856118864,358.241552749053
2020-04-13,356.862915600396,341.203398846021,339.688067285301,374.037763915491
2020-04-14,386.871866972796,375.240661722739,369.697018657701,404.046715287891
2020-04-15,431.50020441771,411.048412539209,414.325356102616,448.675052732804
2020-04-16,479.09802599275,448.546539063853,461.923177677655,496.272874307844
2020-04-17,517.220144135224,487.640138743785,500.045295820128,534.394992450319
2020-04-18,541.512146091424,528.220869039762,524.337297776322,558.686994406525
2020-04-19,559.048093239573,570.168510800429,541.873244924461,576.222941554685
2020-04-20,583.109099395517,613.352697002059,565.934251080375,600.28394771066
2020-04-21,620.624508670621,657.634757101362,603.449660355353,637.799356985889
2020-04-22,665.457662661215,702.869627200506,648.282814345818,682.632510976612
2020-04-23,706.241550344753,748.907778008558,689.066702028062,723.416398661444
2020-04-24,740.375660484431,795.597115932633,723.200812167394,757.550508801468
2020-04-25,779.499762448139,842.784817228923,762.324914119274,796.674610777004
2020-04-26,838.073109718193,890.31906065001,820.898261389176,855.24795804721
2020-04-27,914.994739388847,938.050630102903,897.819890962232,932.169587815462
2020-04-28,993.444286435449,985.834365163782,976.26943800221,1010.61913486869
2020-04-29,1061.35914226783,1033.53044359657,1044.1842931053,1078.53399143037
2020-04-30,1120.94097336372,1081.00548605294,1103.766123901,1138.11582282645
2020-05-01,1174.53810305724,1128.13347870044,1157.36324869572,1191.71295741876
