"pred_date","posterior_mean","parametric_fit","lower","upper"
2020-03-06,0.00140353467525539,0.0386883088681735,-71.4500977051209,71.4529047744715
2020-03-07,0.00106328248794144,0.0572654688266188,-65.9722560604635,65.9743826254394
2020-03-08,0.00301531623938889,0.0842235580654666,-65.9679984802337,65.9740291127125
2020-03-09,0.00371887638687848,0.123063264110492,-65.7135112993144,65.7209490520882
2020-03-10,0.00064604131299099,0.178610117993787,-65.7050350569316,65.7063271395576
2020-03-11,0.00161971570134973,0.257452937710441,-65.6845646165259,65.6878040479287
2020-03-12,0.0172178949606958,0.368500653323935,-65.6653800445098,65.6998158344312
2020-03-13,0.0302035698402404,0.523679020449612,-65.6510891074711,65.7114962471515
2020-03-14,0.00146052564737898,0.738788768774802,-65.6791579783635,65.6820790296583
2020-03-15,-0.0397146322084296,1.03454513419244,-65.7202726680009,65.6408434035841
2020-03-16,0.0492768687852353,1.43781497584529,-65.6311828557036,65.7297365932741
2020-03-17,0.354219080806921,1.98306129785023,-65.3262396907604,66.0346778523742
2020-03-18,0.723922773013597,2.71399558976309,-64.9565240458709,66.4043695918981
2020-03-19,0.977693145651232,3.68542575715148,-64.7027536171872,66.6581399084897
2020-03-20,1.29662222241767,4.96527158550597,-64.3838233052579,66.9770677500932
2020-03-21,2.11678956777181,6.63670106388688,-63.5636558926949,67.7972350282385
2020-03-22,3.56347307913988,8.80032029122695,-62.1169722740732,69.243918432353
2020-03-23,5.36748046800049,11.5763283293192,-60.3129648657764,71.0479258017774
2020-03-24,7.61250359882961,15.1065278862516,-58.0679417275048,73.292948925164
2020-03-25,11.1742874132881,19.556065063165,-54.5061579094003,76.8547327359765
2020-03-26,16.7961472355349,25.1147586952893,-48.8842980867973,82.476592557867
2020-03-27,24.0249004686456,31.9978741514807,-41.6555448531507,89.7053457904419
2020-03-28,32.1248818591587,40.4461996392274,-33.5555634626318,97.8053271809492
2020-03-29,41.6193642658087,50.725296388765,-24.0610810559162,107.299809587534
2020-03-30,53.0250118365775,63.1238181112231,-12.655433485147,118.705457158302
2020-03-31,64.9617746036281,77.9508294830927,-0.718670718089669,130.642219925346
2020-04-01,76.6850895061851,95.5320967582363,11.0046441844681,142.365534827902
2020-04-02,90.8782636368422,116.205373650774,25.1978183151267,156.558708958558
2020-04-03,109.714246142698,140.314759261918,44.0338008209831,175.394691464414
2020-04-04,131.264087969764,168.204258379464,65.5836426480475,196.94453329148
2020-04-05,155.308637151304,200.210724071004,89.6281918295876,220.989082473021
2020-04-06,188.161203178958,236.656404372884,122.48075785724,253.841648500676
2020-04-07,235.955390945506,277.841345802353,170.27494562379,301.635836267222
2020-04-08,298.027305826171,324.035923963549,232.346860504455,363.707751147887
2020-04-09,367.704251214228,375.473774295878,302.02380589251,433.384696535946
2020-04-10,432.912489924545,432.345383800633,367.232044602828,498.592935246261
2020-04-11,484.791904736145,494.79257830359,419.111459414429,550.472350057861
2020-04-12,535.509892819905,562.904101421488,469.829447498188,601.190338141621
2020-04-13,609.415664565606,636.712433664533,543.735219243889,675.096109887322
2020-04-14,708.082416100319,716.191946323568,642.401970778602,773.762861422036
2020-04-15,810.361210078278,801.258428481574,744.680764756563,876.041655399992
2020-04-16,908.839611116194,891.769970100026,843.15916579448,974.520056437909
2020-04-17,1014.89322151387,987.529132765475,949.212776192153,1080.57366683558
2020-04-18,1134.73335563208,1088.28629489853,1069.05291031036,1200.4138009538
2020-04-19,1269.78925962701,1193.74402190551,1204.10881430529,1335.46970494874
2020-04-20,1421.84354782417,1303.56228503425,1356.16310250238,1487.52399314596
2020-04-21,1572.75278653213,1417.36433599531,1507.07234121034,1638.43323185393
2020-04-22,1686.87354915133,1534.74303748654,1621.19310382899,1752.55399447366
2020-04-23,1752.25137160597,1655.26745182227,1686.57092628328,1817.93181692866
2020-04-24,1790.64028953762,1778.48949971552,1724.95984421129,1856.32073486395
2020-04-25,1824.6372437407,1903.95051742168,1758.95679840692,1890.31768907447
2020-04-26,1872.04017635838,2031.18756132206,1806.35973100517,1937.7206217116
2020-04-27,1966.55226059466,2159.73933299609,1900.87181513419,2032.23270605514
2020-04-28,2136.66575011358,2289.15162338565,2070.9853045859,2202.34619564126
2020-04-29,2358.16826056431,2418.9822004444,2292.48781380147,2423.84870732714
2020-04-30,2561.9500324023,2548.80508955694,2496.26958558342,2627.63047922118
2020-05-01,2696.35021518762,2678.21421911596,2630.66975641605,2762.03067395919
2020-05-02,2768.69757072145,2806.82642431247,2703.01711099696,2834.37803044595
2020-05-03,2835.05888080306,2934.28382001018,2769.37832276726,2900.73943883885
2020-05-04,2956.95029273583,3060.25556833285,2891.26967423182,3022.63091123984
2020-05-05,3151.97792427909,3184.43907826205,3086.29663160178,3217.6592169564
2020-05-06,3379.9545018745,3306.56068323246,3314.27190393503,3445.63709981398
2020-05-07,3579.94491074045,3426.37584863955,3514.25872640822,3645.63109507268
2020-05-08,3714.4572000232,3543.66896462939,3648.75151892495,3780.16288112145
2020-05-09,3783.82501999699,3658.25278085564,3718.10778982129,3849.54225017269
2020-05-10,3817.92476520895,3769.96753941493,3751.95375141248,3883.89577900542
2020-05-11,3857.15268305768,3878.67986025948,3791.17936371473,3923.12600240063
2020-05-12,3928.44025933892,3984.28143036644,3856.98875809912,3999.89176057872
2020-05-12,3928.44025933892,3984.28143036644,3856.98875809912,3999.89176057872
2020-05-13,4031.96339608187,4086.6875441222,3936.83351605263,4127.0932761111
2020-05-14,4149.64132709171,4185.83553802753,4024.86307033498,4274.41958384844
