"pred_date","posterior_mean","parametric_fit","lower","upper"
2020-01-21,-0.00634089970468943,2.7015399099863e-17,-646.143232647586,646.130550848177
2020-01-22,-0.0146792585069363,7.91794591474545e-17,-621.863274094035,621.833915577021
2020-01-23,-0.0192350796337099,2.30941777911631e-16,-607.474123986409,607.435653827142
2020-01-24,-0.0188864389369668,6.70141037490016e-16,-600.326474753957,600.288701876083
2020-01-25,-0.0130909174237213,1.93412075400104e-15,-597.589027026474,597.562845191626
2020-01-26,-0.00212587138756744,5.55046685053634e-15,-596.948038829144,596.943787086369
2020-01-27,0.0127534424514278,1.58333867533728e-14,-596.916127839813,596.941634724716
2020-01-28,0.0292920977963323,4.48829342975818e-14,-596.792184680824,596.850768876417
2020-01-29,0.0443943218041401,1.26389629242843e-13,-596.426764514057,596.515553157665
2020-01-30,0.0544852573581104,3.53442720909243e-13,-595.943223658324,596.05219417304
2020-01-31,0.0560649447616289,9.81191360525913e-13,-595.515494362062,595.627624251585
2020-02-01,0.0464028273711581,2.70308857772949e-12,-595.246587900038,595.33939355478
2020-02-02,0.0242780978879696,7.38718270507007e-12,-595.142726720643,595.191282916419
2020-02-03,-0.00936570210006947,2.00191209943899e-11,-595.146908825431,595.128177421231
2020-02-04,-0.0510049601127535,5.37761975425211e-11,-595.188494303148,595.086484382923
2020-02-05,-0.0945095699805914,1.43133543824004e-10,-595.217977282293,595.028958142331
2020-02-06,-0.131622708091519,3.77331158043953e-10,-595.216595875254,594.953350459071
2020-02-07,-0.152997171851898,9.84813994003668e-10,-595.187001828645,594.881007484941
2020-02-08,-0.149742952542961,2.54362804737226e-09,-595.137980520543,594.838494615457
2020-02-09,-0.115326725169749,6.49884330234905e-09,-595.07395220079,594.84329875045
2020-02-10,-0.0475492478761404,1.64178024137901e-08,-594.993302183199,594.898203687447
2020-02-11,0.049766102878244,4.0992343032612e-08,-594.893404360453,594.99293656621
2020-02-12,0.165786853115627,1.01113925999495e-07,-594.777354931207,595.108928637438
2020-02-13,0.282778515457263,2.46292784447472e-07,-594.658066316314,595.223623347228
