"pred_date","posterior_mean","parametric_fit","lower","upper"
2020-03-10,0.0515912292529536,0.365661655810913,-48.9308817701412,49.0340642286471
2020-03-11,0.0530792971969953,0.56841757314264,-46.6553740572829,46.7615326516769
2020-03-12,0.0822358170831957,0.873203908507045,-46.5821087048846,46.746580339051
2020-03-13,0.139131692589194,1.32531011376147,-46.486557054016,46.7648204391944
2020-03-14,0.201419024260799,1.98691336929521,-46.4195638962851,46.8224019448067
2020-03-15,0.248829287021382,2.94184095875477,-46.3711709486173,46.8688295226601
2020-03-16,0.387323179662247,4.30102310486359,-46.2323685195853,47.0070148789098
2020-03-17,0.908051447329535,6.20847799325862,-45.7116198362682,47.5277227309273
2020-03-18,2.02213039378952,8.84755585727177,-44.597524471468,48.641785259047
2020-03-19,3.60086990517382,12.4470448351713,-43.0187847180881,50.2205245284357
2020-03-20,5.4937144310787,17.28662226265,-41.1259394278631,52.1133682900205
2020-03-21,8.01736657552874,23.7010394274809,-38.6022872833532,54.6370204344106
2020-03-22,11.9458277319378,32.0823755356125,-34.6738260951739,58.5654815590495
2020-03-23,18.5068855504095,42.8797060926835,-28.1127682764056,65.1265393772245
2020-03-24,29.5917818079823,56.5956151918281,-17.0278720176521,76.2114356336167
2020-03-25,46.6548012094895,73.7791446923246,0.0351473839058727,93.2744550350732
2020-03-26,68.2634234061594,95.0150092523936,21.6437695806145,114.883077231704
2020-03-27,90.7833960562077,120.909196237385,44.163742230667,137.403049881748
2020-03-28,114.838458149285,152.071385137342,68.2188043237453,161.458111974824
2020-03-29,148.591310299274,189.094927270847,101.971656473735,195.210964124813
2020-03-30,199.409812824607,232.535386783729,152.790158999068,246.029466650146
2020-03-31,265.365738912321,282.888826010028,218.746085086782,311.98539273786
2020-04-01,338.025255460026,340.571099083227,291.405601634486,384.644909285565
2020-04-02,409.051629099054,405.899386868054,362.431975273515,455.671282924594
2020-04-03,475.631611716854,479.077067394973,429.011957891314,522.251265542393
2020-04-04,544.713328041032,560.182785551983,498.093674215493,591.332981866571
2020-04-05,627.72711641427,649.16429033489,581.107462588731,674.346770239809
2020-04-06,727.676715245045,745.837279706649,681.057061419506,774.296369070584
2020-04-07,838.756596511218,849.889165315992,792.136942685679,885.376250336757
2020-04-08,960.979300616144,960.887371943369,914.359646790605,1007.59895444168
2020-04-09,1099.70521549552,1078.29154299831,1053.08556166998,1146.32486932106
2020-04-10,1245.0362523565,1201.46884866911,1198.41659853096,1291.65590618204
2020-04-11,1375.56829057327,1329.71149350639,1328.94863674773,1422.18794439881
2020-04-12,1490.40957205362,1462.25549325825,1443.78991822808,1537.02922587916
2020-04-13,1612.56961590971,1598.29982813557,1565.94996208417,1659.18926973525
2020-04-14,1758.01635406198,1737.02516846266,1711.39670023645,1804.63600788752
2020-04-15,1919.55295144023,1877.61149376411,1872.93329761469,1966.17260526577
2020-04-16,2075.61599796018,2019.25407242256,2028.99634413464,2122.23565178572
2020-04-17,2204.84621269329,2161.17742208397,2158.22655886776,2251.46586651883
2020-04-18,2303.91606626992,2302.64701929082,2257.29641244438,2350.53572009546
2020-04-19,2397.80985627387,2442.97866155408,2351.19020244833,2444.42951009941
2020-04-20,2518.51374631066,2581.54550036613,2471.89409248512,2565.1334001362
2020-04-21,2668.76537091979,2717.78285639594,2622.14571709425,2715.38502474533
2020-04-22,2824.74386252283,2851.19099750758,2778.1242086973,2871.36351634837
2020-04-23,2971.57465166757,2981.33610731919,2924.95499784203,3018.1943054931
2020-04-24,3108.32243397188,3107.84969904359,3061.70278014634,3154.94208779741
2020-04-25,3228.82464126717,3230.42673934572,3182.20498744163,3275.44429509271
2020-04-26,3331.77872512552,3348.82274327091,3285.15907129998,3378.39837895107
2020-04-27,3435.17329134132,3462.85008728982,3388.55363751574,3481.79294516691
2020-04-28,3551.60737603211,3572.37376628876,3504.98772220647,3598.22702985774
2020-04-29,3670.84648443623,3677.30679464143,3624.22683060942,3717.46613826305
2020-04-30,3782.42164576148,3777.60542360856,3735.80199193437,3829.04129958859
2020-05-01,3887.60986251744,3873.26431903152,3840.99020865855,3934.22951637632
2020-05-02,3983.73181910295,3964.31181596666,3937.11216524401,4030.35147296189
2020-05-03,4062.93300074733,4050.80534149529,4016.31334612407,4109.5526553706
2020-05-04,4127.5578511115,4132.82707404158,4080.93819624624,4174.17750597675
2020-05-05,4189.54696418477,4210.47988745488,4142.92729290117,4236.16663546837
2020-05-06,4258.21977024378,4283.88361096583,4211.60007854453,4304.83946194303
2020-05-07,4335.89055675681,4353.17162184517,4289.27055652117,4382.51055699245
2020-05-08,4417.94676134412,4418.48777600879,4371.32577842358,4464.56774426467
2020-05-09,4492.69839805034,4479.98367267841,4446.07270930373,4539.32408679694
2020-05-10,4552.1965692996,4537.81624224222,4505.53222477763,4598.86091382157
2020-05-11,4603.55997031216,4592.14564136884,4556.85151695768,4650.26842366664
2020-05-12,4655.40563377652,4643.13343591949,4606.42316077713,4704.38810677591
2020-05-12,4655.40563377652,4643.13343591949,4606.42316077713,4704.38810677591
2020-05-13,4704.18206217104,4690.94105000165,4647.77862629926,4760.58549804281
2020-05-14,4745.42864907264,4735.72845836181,4681.88846359105,4808.96883455423
2020-05-15,4782.21086070419,4777.65309900127,4715.83271578902,4848.58900561937
2020-05-16,4818.26744181947,4816.86898322403,4751.37465030439,4885.16023333454
2020-05-17,4853.81172430004,4853.52598112301,4786.87594150529,4920.74750709479
2020-05-18,4887.80866499507,4887.76926164459,4820.87121902009,4954.74611097005
2020-05-19,4919.7425661522,4919.73886772718,4852.80509009356,4986.68004221084
2020-05-20,4949.56964605723,4949.569408498,4882.63216974222,5016.50712237224
2020-05-21,4977.38986254103,4977.38985206238,4910.45238622499,5044.32733885707
2020-05-22,5003.32340429469,5003.32340397656,4936.38592797864,5070.26088061073
2020-05-23,5027.48745802532,5027.48745801866,4960.54998170928,5094.42493434136
2020-05-24,5049.99360733296,5049.99360733286,4983.05613101692,5116.931083649
2020-05-25,5070.9477054001,5070.9477054001,5004.01022908405,5137.88518171614
2020-05-26,5090.44996757132,5090.44996757132,5023.51249125528,5157.38744388736
2020-05-27,5108.59510508027,5108.59510508027,5041.65762876423,5175.53258139632
2020-05-28,5125.47248452914,5125.47248452914,5058.53500821309,5192.40996084518
2020-05-29,5141.1663068137,5141.1663068137,5074.22883049766,5208.10378312974
2020-05-30,5155.75580032739,5155.75580032739,5088.81832401135,5222.69327664343
2020-05-31,5169.31542406145,5169.31542406145,5102.3779477454,5236.25290037749
2020-06-01,5181.91507690695,5181.91507690695,5114.97760059091,5248.852553223
2020-06-02,5193.62031007036,5193.62031007036,5126.68283375431,5260.5577863864
2020-06-03,5204.49254004477,5204.49254004477,5137.55506372873,5271.43001636082
2020-06-04,5214.5892600406,5214.5892600406,5147.65178372455,5281.52673635664
2020-06-05,5223.96424817914,5223.96424817914,5157.0267718631,5290.90172449518
2020-06-06,5232.66777109693,5232.66777109693,5165.73029478088,5299.60524741297
2020-06-07,5240.74678190364,5240.74678190364,5173.80930558759,5307.68425821968
