"pred_date","posterior_mean","parametric_fit","lower","upper"
2020-02-12,1.08896023680569e-06,5.59079037658744e-05,-7.95548325948604,7.95548543740652
2020-02-13,4.8516369382377e-07,8.61073729624095e-05,-7.23135896894498,7.23135993927237
2020-02-14,7.07780687554059e-07,0.000132053239200749,-7.23089692982377,7.23089834538514
2020-02-15,1.63303748165006e-06,0.000201622391203242,-7.18319506462193,7.18319833069689
2020-02-16,2.88058175352558e-06,0.000306442216913869,-7.18082199272622,7.18082775388973
2020-02-17,3.85455395883158e-06,0.000463572453520849,-7.17594716030424,7.17595486941216
2020-02-18,4.77860000069481e-06,0.000697886786148388,-7.17444218831067,7.17445174551067
2020-02-19,7.70848210459975e-06,0.00104541818209099,-7.17411780500915,7.17413322197336
2020-02-20,1.44204548574076e-05,0.00155801873061472,-7.17367416943171,7.17370301034142
2020-02-21,2.23301343947019e-05,0.00230979437201881,-7.17366293061438,7.17370759088317
2020-02-22,2.71011150688896e-05,0.00340591093808912,-7.17357387572864,7.17362807795878
2020-02-23,3.45046786132721e-05,0.00499453351701855,-7.17356363989909,7.17363264925631
2020-02-24,6.20537995178698e-05,0.0072828583947762,-7.17352471994385,7.17364882754289
2020-02-25,0.000111859959429549,0.0105584260312662,-7.17347237458542,7.17369609450428
2020-02-26,0.00014991467956371,0.0152171623288418,-7.17343335958184,7.17373318894097
2020-02-27,0.000158936196585721,0.0217998777123606,-7.17342348815155,7.17374136054472
2020-02-28,0.00022287124896786,0.0310392482394678,-7.17335952645119,7.17380526894913
2020-02-29,0.000454847654808575,0.0439195930758102,-7.17312736821209,7.17403706352171
2020-03-01,0.000749593704018529,0.061752024276566,-7.17283262013288,7.17433180754092
2020-03-02,0.000801206164690051,0.0862677465755926,-7.17278098034479,7.17438339267417
2020-03-03,0.000712904777087705,0.119732388179406,-7.1728692778265,7.17429508738068
2020-03-04,0.00134561373190555,0.165084203516982,-7.17223656615073,7.17492779361454
2020-03-05,0.00307647351295016,0.226098756497374,-7.17050570478654,7.17665865181244
2020-03-06,0.00417848233069586,0.30758221832133,-7.16940369584466,7.17776066050605
2020-03-07,0.00278400881888433,0.415594651460671,-7.17079816897667,7.17636618661444
2020-03-08,0.00200452160729121,0.55770356499761,-7.17157765618787,7.17558669940246
2020-03-09,0.00847270508833145,0.74326659641306,-7.16510947264332,7.18205488281998
2020-03-10,0.0194085706053541,0.983740404632073,-7.15417360712049,7.1929907483312
2020-03-11,0.0178111041915251,1.29301078162842,-7.155771073527,7.19139328191005
2020-03-12,-0.00197986463033791,1.68773667231132,-7.17556204234618,7.1716023130855
2020-03-13,-0.00584427916443841,2.18769833838862,-7.17942645687992,7.16773789855104
2020-03-14,0.0609974602753545,2.81613745042544,-7.11258471743963,7.23457963799034
2020-03-15,0.242104727951158,3.60007461267917,-6.9314774497636,7.41568690566591
2020-03-16,0.607911898664745,4.570587907705,-6.56567027904979,7.78149407637929
2020-03-17,1.29394491608836,5.76303468999325,-5.87963726162658,8.4675270938033
2020-03-18,2.37809392597817,7.21719824891069,-4.7954882517364,9.55167610369274
2020-03-19,3.69203557171313,8.97734126267068,-3.4815466060013,10.8656177494276
2020-03-20,4.87127190745446,11.09214929321,-2.30231027026005,12.044854085169
2020-03-21,5.69014332119239,13.61454998137,-1.48343885652218,12.863725498907
2020-03-22,6.39503043294139,16.6013970737088,-0.778551744773418,13.5686126106562
2020-03-23,7.71719996892431,20.1130128478958,0.543617791209928,14.8907821466387
2020-03-24,10.3735803158359,24.2125877253733,3.1999981381216,17.5471624935502
2020-03-25,14.3408865627247,28.9654416198134,7.16730438501046,21.514468740439
2020-03-26,18.8683324032428,34.438157564859,11.6947502255286,26.0419145809571
2020-03-27,23.6025401005243,40.6976040580672,16.4289579228101,30.7761222782385
2020-03-28,29.3205401764078,47.8098680045977,22.1469579986934,36.4941223541223
2020-03-29,36.8273321391825,55.8391248166812,29.6537499614681,44.000914316897
2020-03-30,45.5865077319389,64.8464758390359,38.4129255542238,52.7600899096539
2020-03-31,54.7280641659403,74.8887856067319,47.5544819882254,61.9016463436551
2020-04-01,65.2955594334142,86.0175523616844,58.1219772556999,72.4691416111285
2020-04-02,79.7970725533161,98.2778447076512,72.6234903756016,86.9706547310306
2020-04-03,98.8584848037748,111.707335312732,91.6849026260601,106.03206698149
2020-04-04,119.698114403571,126.335459299034,112.524532225855,126.871696581287
2020-04-05,139.08756108364,142.182720589825,131.913978905925,146.261143261356
2020-04-06,157.134771785268,159.260164268515,149.961189607554,164.308353962983
2020-04-07,176.824587288223,177.569027229611,169.651005110509,183.998169465938
2020-04-08,199.71255046872,197.100573371096,192.538968291006,206.886132646435
2020-04-09,223.458603680214,217.836113585884,216.285021502498,230.632185857929
2020-04-10,245.008546005068,239.747205127537,237.834963827353,252.182128182783
2020-04-11,265.567419972803,262.796019784033,258.393837795089,272.741002150518
2020-04-12,290.225484726256,286.935865875891,283.051902548541,297.399066903971
2020-04-13,322.17124173758,312.111845529491,314.997659559863,329.344823915296
2020-04-14,359.152962318342,338.261626035965,351.979380140623,366.326544496062
2020-04-15,396.228352237932,365.316302409983,389.054770060205,403.401934415659
2020-04-16,429.943120915785,393.201327483546,422.769538738052,437.116703093517
2020-04-17,459.05495876101,421.837485940101,451.881376583215,466.228540938805
2020-04-18,483.581908853452,451.141889516053,476.408326675657,490.755491031248
2020-04-19,504.871840761943,481.02897205106,497.698258583767,512.045422940119
2020-04-20,525.439154726748,511.411465024667,518.265572548449,532.612736905048
2020-04-21,547.653930932092,542.201336540571,540.48034875221,554.827513111974
